id,name,address,postcode,lat,long,accuracy,inspection,score,classification,telephone,type
,Duke Of York,70 Church Street,HU7 4TD,53.7468815,-0.336364,RANGE_INTERPOLATED,17-Jul-08,70,C Acceptable,,
,Dukes Cafe Bar,44-46 Princes Avenue,HU5 3QG,53.7377481,-0.4116227,RANGE_INTERPOLATED,15-Jan-09,85,B Good,,
,Dundee Fisheries,32 Chanterlands Avenue,HU5 3SR,53.7454704,-0.3245463,RANGE_INTERPOLATED,26-Jun-08,80,B Good,,
,Dunelm Coffee Bar,Clough Road,HU5 1SP,53.7398408,-0.3340044,APPROXIMATE,18-Aug-08,85,B Good,,
,Durham Care Home,97-105 Durham Street,HU8 8RF,53.7458625,-0.3261649,GEOMETRIC_CENTER,02-Jul-09,80,B Good,,
,Durty Nellys,48 High Street,HU1 1QE,53.7805474,-0.3037005,RANGE_INTERPOLATED,25-Jun-08,85,B Good,,
,DW Fitness Club Cafe,Mount Pleasant,HU9 2AP,53.7521918,-0.3608743,RANGE_INTERPOLATED,14-May-07,95,A Excellent,,
,E Duffield Butchers,Trinity House Lane,HU1 2JH,53.7556386,-0.3739372,RANGE_INTERPOLATED,06-Nov-03,85,B Good,,
,Earlsmere Hotel,76-78 Sunny Bank,HU3 1LQ,53.7679665,-0.3442344,GEOMETRIC_CENTER,27-Oct-09,80,B Good,,
,East Hull Community Farm,Barham Road,HU9 4EE,53.7580359,-0.3133181,RANGE_INTERPOLATED,17-Apr-09,75,B Good,,
,East Hull Pizza,308 Southcoates Lane,HU9 3TN,53.7424959,-0.3312522,RANGE_INTERPOLATED,17-Aug-09,60,C Acceptable,,
,East Riding Medical Education,Anlaby Road,HU1 2NR,53.7488646,-0.3142128,GEOMETRIC_CENTER,18-Dec-09,95,A Excellent,,
,Eastfield Primary School,Eastfield Road,HU4 6DT,53.7398408,-0.3340044,APPROXIMATE,21-May-08,90,A Excellent,,
,Eastfield Residential Home,232 Wawne Road,HU7 5YS,53.7503927,-0.3674076,GEOMETRIC_CENTER,22-Nov-08,85,B Good,,
,Eastland,204 Hessle Road,HU3 3BE,53.7694497,-0.2647276,GEOMETRIC_CENTER,23-Jun-09,60,C Acceptable,,
,Eastrise Residential Home,851-853 Holderness Road,HU8 9BA,53.7579883,-0.294081,RANGE_INTERPOLATED,29-Jun-09,70,C Acceptable,,
,East-thorpe Guest House,800 Holderness Road,HU9 3LP,53.7432751,-0.3448312,GEOMETRIC_CENTER,01-Dec-09,85,B Good,,
,Eat-Ings Cafe,Savoy Road,HU8 0TY,53.74164,-0.396664,GEOMETRIC_CENTER,16-Nov-09,90,A Excellent,,
,Ebor Lodge,92 Westbourne Avenue,HU5 3HS,53.7900924,-0.3192326,GEOMETRIC_CENTER,17-Mar-08,75,B Good,,
,Edinburgh Street Community Centre,140 Woodcock Street,HU3 5AW,53.7360847,-0.3602595,RANGE_INTERPOLATED,23-May-08,70,C Acceptable,,
,Edwards Market Traders,Walton Street,HU3 6JG,53.7677483,-0.2845089,RANGE_INTERPOLATED,28-Mar-07,85,B Good,,
,Eikona,27-28 Scale Lane,HU1 1LF,53.7663905,-0.2881526,RANGE_INTERPOLATED,13-Jan-10,70,C Acceptable,,
,El'Cubano,330 Beverley Road,HU5 1BA,53.770301,-0.290919,GEOMETRIC_CENTER,19-Nov-09,70,C Acceptable,,
,Electric Fish & Chips,96 Shannon Road,HU8 9PD,53.7565534,-0.3660221,GEOMETRIC_CENTER,09-Oct-08,85,B Good,,
,Elephant And Castle,247 Holderness Road,HU8 8TD,53.736658,-0.375823,RANGE_INTERPOLATED,03-Feb-09,55,D Poor,,
,Elim Church,Bourne Street,HU2 8AE,53.7469216,-0.3743859,GEOMETRIC_CENTER,06-Feb-08,75,B Good,,
,Elmbridge Fish & Chips,18 Elmbridge Parade,HU9 4JU,53.7426849,-0.3321388,RANGE_INTERPOLATED,11-Jun-09,85,B Good,,
,Elmtree Court Residential Home,344 Preston Road,HU9 5HH,53.7636316,-0.3514284,RANGE_INTERPOLATED,19-Jun-08,90,A Excellent,,
,Embassy Hotel,367 Hedon Road,HU9 1RA,53.7770085,-0.2689111,RANGE_INTERPOLATED,06-Jan-10,90,A Excellent,,
,Empress Hotel,Alfred Gelder Street,HU1 2BP,53.7638112,-0.2949329,RANGE_INTERPOLATED,25-Mar-08,65,C Acceptable,,
,Endeavour High School,Beverley Road,HU3 1UR,53.7480939,-0.3334206,GEOMETRIC_CENTER,14-Jan-09,90,A Excellent,,
,Endike Community Centre,21st Avenue,HU6 8DL,53.7569115,-0.2551704,RANGE_INTERPOLATED,22-Oct-09,85,B Good,,
,Endike Hotel,483 Endike Lane,HU6 8AQ,53.7564483,-0.2657972,RANGE_INTERPOLATED,24-Mar-09,75,B Good,,
,Endike Primary School,Endike Lane,HU6 7UR,53.747557,-0.3062862,RANGE_INTERPOLATED,18-Jul-08,85,B Good,,
,Endsleigh R C Primary School,Inglemire Lane,HU6 8JH,53.7443866,-0.33214,GEOMETRIC_CENTER,10-Dec-02,85,B Good,,
